                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                  1.812,                 1.7038,                 1.6998,                    0.4,                0.10811,                0.23858,                0.06047,                 2.9045,                 3.1074,                 2.7004,               0.001907,               0.001907,               0.001907
                     96,                 1.9125,                 1.7092,                  1.771,                0.35484,                 0.0991,                0.20612,                0.04141,                 2.8864,                  3.142,                 2.5979,               0.001906,               0.001906,               0.001906
                     97,                 1.9901,                 1.7159,                 1.8109,                0.40816,                0.18018,                 0.2735,                0.07006,                 2.7678,                 3.0121,                  2.426,               0.001905,               0.001905,               0.001905
                     98,                 1.9379,                 1.5574,                 1.7012,                0.40816,                0.18018,                 0.2735,                0.07006,                 2.7678,                 3.0121,                  2.426,               0.001904,               0.001904,               0.001904
                     99,                  1.902,                 1.6517,                 1.7489,                0.42933,                0.20721,                0.29265,                0.09001,                 2.6089,                  2.911,                  2.238,               0.001903,               0.001903,               0.001903
                    100,                 1.8033,                 1.6369,                 1.6403,                0.30159,                0.17117,                0.21184,                0.07309,                 2.6721,                  2.955,                 2.2635,               0.001902,               0.001902,               0.001902
                    101,                 1.8625,                 1.6285,                  1.697,                 0.3913,                0.16216,                0.27327,                 0.0873,                 2.6359,                 2.8243,                 2.2611,               0.001901,               0.001901,               0.001901
                    102,                 1.8392,                 1.6052,                 1.6612,                 0.3913,                0.16216,                0.27327,                 0.0873,                 2.6359,                 2.8243,                 2.2611,                 0.0019,                 0.0019,                 0.0019
                    103,                 1.8908,                 1.5496,                 1.6735,                    0.5,                0.14414,                0.31967,                0.10642,                 2.6132,                 2.7362,                  2.278,               0.001899,               0.001899,               0.001899
                    104,                 1.7922,                 1.5733,                 1.6583,                0.30769,                0.10811,                0.20006,                0.06398,                  2.735,                 2.8285,                 2.4433,               0.001898,               0.001898,               0.001898
                    105,                 1.9209,                  1.588,                 1.7853,                 0.2449,                0.10811,                0.16636,                0.04923,                 2.7393,                 2.8403,                 2.4383,               0.001897,               0.001897,               0.001897
                    106,                 1.9044,                 1.6553,                 1.7875,                 0.2449,                0.10811,                0.16636,                0.04923,                 2.7393,                 2.8403,                 2.4383,               0.001896,               0.001896,               0.001896
                    107,                 1.8144,                 1.4393,                 1.6326,                0.27692,                0.16216,                0.19372,                0.06232,                 2.7163,                 2.8106,                  2.413,               0.001895,               0.001895,               0.001895
                    108,                 1.8226,                 1.6261,                 1.6781,                   0.34,                0.15315,                0.23322,                0.07024,                 2.6952,                 2.7054,                 2.3634,               0.001894,               0.001894,               0.001894
                    109,                 1.8582,                 1.5417,                 1.7003,                 0.3617,                0.15315,                0.24106,                0.07517,                 2.6483,                 2.6343,                 2.3019,               0.001893,               0.001893,               0.001893
                    110,                   1.74,                 1.5729,                 1.6487,                 0.3617,                0.15315,                0.24106,                0.07517,                 2.6483,                 2.6343,                 2.3019,               0.001892,               0.001892,               0.001892
                    111,                 1.7919,                 1.4913,                 1.6854,                  0.375,                0.18919,                0.26403,                0.08868,                 2.6139,                  2.686,                  2.278,               0.001891,               0.001891,               0.001891
                    112,                 1.7312,                 1.5074,                 1.6355,                0.35938,                0.20721,                0.26181,                0.08647,                 2.6223,                 2.7721,                 2.2727,                0.00189,                0.00189,                0.00189
                    113,                  1.873,                 1.5921,                 1.6702,                0.36842,                0.18919,                0.27598,                 0.0869,                  2.638,                 2.9053,                 2.2873,               0.001889,               0.001889,               0.001889
                    114,                 1.8247,                 1.4622,                 1.6414,                0.36842,                0.18919,                0.27598,                 0.0869,                  2.638,                 2.9053,                 2.2873,               0.001888,               0.001888,               0.001888
                    115,                 1.6448,                 1.4332,                 1.5649,                0.45063,                0.15315,                0.26604,                0.06527,                  2.645,                 2.9777,                 2.3056,               0.001887,               0.001887,               0.001887
                    116,                 1.7429,                 1.4465,                 1.5969,                0.33898,                0.18018,                0.28028,                0.06659,                 2.6989,                 2.9218,                 2.2857,               0.001886,               0.001886,               0.001886
                    117,                  1.789,                 1.4736,                 1.6461,                0.34615,                0.16216,                0.27126,                0.06512,                 2.7079,                 2.7674,                 2.2893,               0.001885,               0.001885,               0.001885
                    118,                  1.703,                 1.4428,                 1.6074,                0.34615,                0.16216,                0.27126,                0.06512,                 2.7079,                 2.7674,                 2.2893,               0.001884,               0.001884,               0.001884
                    119,                 1.7226,                 1.4703,                 1.5502,                0.38095,                0.14414,                0.26221,                0.06745,                 2.6748,                 2.6162,                 2.2358,               0.001883,               0.001883,               0.001883
                    120,                  1.703,                 1.4115,                 1.5541,                0.45455,                0.18018,                0.28352,                0.09226,                 2.6187,                 2.7088,                 2.1789,               0.001882,               0.001882,               0.001882
                    121,                 1.8167,                 1.5934,                 1.6877,                 0.4375,                0.18919,                0.27607,                0.09461,                 2.6045,                 2.7206,                 2.1576,               0.001881,               0.001881,               0.001881
                    122,                 1.7431,                 1.5355,                 1.6846,                 0.4375,                0.18919,                0.27607,                0.09461,                 2.6045,                 2.7206,                 2.1576,                0.00188,                0.00188,                0.00188
                    123,                 1.8672,                 1.6245,                  1.737,                0.52273,                0.20721,                0.32407,                0.09806,                 2.5942,                 2.7432,                 2.1639,               0.001879,               0.001879,               0.001879
                    124,                  1.755,                 1.4301,                 1.6347,                0.47826,                 0.1982,                0.32597,                0.10048,                 2.5646,                 2.8771,                 2.1458,               0.001878,               0.001878,               0.001878
                    125,                  1.728,                 1.4448,                  1.616,                0.41818,                0.20721,                0.29115,                0.09402,                 2.6052,                 2.9348,                 2.2134,               0.001877,               0.001877,               0.001877
                    126,                 1.7752,                 1.4677,                 1.6764,                0.41818,                0.20721,                0.29115,                0.09402,                 2.6052,                 2.9348,                 2.2134,               0.001876,               0.001876,               0.001876
                    127,                 1.7747,                 1.5873,                 1.7067,                0.31818,                0.25225,                0.23447,                0.07633,                 2.6397,                 3.2862,                 2.2228,               0.001875,               0.001875,               0.001875
                    128,                 1.7352,                 1.5791,                 1.6853,                0.28283,                0.25225,                0.22451,                0.06403,                 2.6549,                 3.2759,                  2.217,               0.001874,               0.001874,               0.001874
                    129,                 1.7271,                 1.3829,                 1.5622,                0.29213,                0.23423,                 0.2375,                0.06451,                  2.685,                 3.0986,                 2.2317,               0.001873,               0.001873,               0.001873
                    130,                 1.7828,                 1.5188,                 1.6299,                0.29213,                0.23423,                 0.2375,                0.06451,                  2.685,                 3.0986,                 2.2317,               0.001872,               0.001872,               0.001872
                    131,                  1.829,                  1.541,                 1.6888,                0.38095,                0.21622,                0.27535,                0.08841,                 2.6631,                 2.8197,                  2.215,               0.001871,               0.001871,               0.001871
                    132,                 1.7536,                 1.4026,                 1.6249,                0.44828,                0.23423,                0.34636,                0.10011,                 2.6605,                  2.656,                 2.1995,                0.00187,                0.00187,                0.00187
                    133,                 1.7913,                 1.4428,                 1.6708,                0.48718,                0.34234,                0.41203,                0.12191,                 2.6678,                 2.6959,                 2.2321,               0.001869,               0.001869,               0.001869
